storename,address,location,date, time, devicetype,issuername, passfail, numberofattempts, issuercardtype, uservendorcomments, serialnumber, passbookui, readerlight, technologyavailable,contactlesscarddetails, contactlesscardpassfail,cardnumber, pno, latlong, failcomments,dpan, amount, build, refundstatus, othercomments, otherfailcomments, purchaseditemcategory, purchaseditemdetails, readerbeep, zipcode, minorcity, range, debitaskedpin, passbooknotification, orientation, displaymerchantname,displayamount,country
Store Name,Address,City, Date, Time,Device Type,Bank Name,PassFail,Number of Attempts,Card Type,User Comments,Serial Number,Passbook UI,Reader Light,Technology Available,Contactless Card,Contactless Card Pass Fail,Last Four,PNO,LAT-LONG,Fail Comments,DPAN,Amount, SW Build,Refund Status, Other Comments, Other Fail Comments, Product Item Category, Product Item Details, Reader Beep, Zip Code, Minor City, Range, Debit Asked Pin, Passbook Notification, Device Orientation, Display Merchant Name, Display Amount,Country
Verizon,17 Larkspur Dr  Parsippany NJ 07054  United States,Newark,20160922,100200,iPhone 6s Plus,Discover,FAIL,1,Credit,,C38QFBN2GRWV,NA,NA,NO,NA,NA,3094,Discover,40.86410377;-74.36946506,NA,8081,,10.1 (14B49),NO,, tap not available ,,,NA,7054,Parsippany,Touch,NA,NA,Portrait,NA,NA,United States
Home Depot,707 US Highway 46  Parsippany NJ 07054  United States,Newark,20160923,101700,iPhone 6s Plus,Discover,FAIL,1,Credit,,C38QFBN2GRWV,NA,NA,NO,NA,NA,3094,Discover,40.86050061;-74.37257145,NA,8081,,10.1 (14B49),NO,, tap not available. ,,,NA,7054,Parsippany,Touch,NA,NA,Portrait,NA,NA,United States
Shop Rite,707 US Highway 46  Parsippany NJ 07054  United States,Newark,20160923,104900,iPhone 6s Plus,Discover,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,3094,Discover,40.86046217;-74.37259382,NA,8081,5,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7054,Parsippany,Touch,NO,YES,Portrait,YES,YES,United States
Shop Rite,707 US Highway 46  Parsippany NJ 07054  United States,Newark,20160923,104900,iPhone 6s Plus,Amex,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,1007,Amex,40.86046217;-74.37259382,NA,7676,5,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7054,Parsippany,Touch,NO,YES,Portrait,YES,YES,United States
Shop Rite,707 US Highway 46  Parsippany NJ 07054  United States,Newark,20160923,104900,iPhone 6,Citi,PASS,1,Credit,,F18Q19K5G5M,NA,NA,YES,NA,NA,5739,MasterCard,40.86046217;-74.37259382,NA,6490,5,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7054,Parsippany,Touch,NO,YES,Portrait Face Down,YES,YES,United States
Shop Rite,707 US Highway 46  Parsippany NJ 07054  United States,Newark,20160923,104900,iPhone 6,Chase,PASS,1,Credit,,F18Q19K5G5M,NA,NA,YES,NA,NA,671,Visa,40.86018977;-74.37283969,NA,7726,5,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7054,Parsippany,Touch,NO,YES,Portrait,YES,YES,United States
Shop Rite,707 US Highway 46  Parsippany NJ 07054  United States,Newark,20160923,104900,Apple Watch,BOA,PASS,1,Debit,Debit runs as credit,FH9PTV0UG99D,NA,NA,YES,NA,NA,7855,MasterCard Debit,40.86031264;-74.37270119,NA,4208,5,3.1 (14S445),NO,, NA,Perishable,verifone ,NA,7054,Parsippany,Touch,NO,YES,Portrait,YES,YES,United States
Shop Rite,707 US Highway 46  Parsippany NJ 07054  United States,Newark,20160923,104900,Apple Watch,Chase,PASS,1,Debit,Debit runs as credit,FH9PTV0UG99D,NA,NA,YES,NA,NA,4295,Visa Debit ,40.86032010;-74.37269482,NA,4701,5,3.1 (14S445),NO,, NA,Perishable,verifone ,NA,7054,Parsippany,Touch,NO,NO,Portrait,NO,NO,United States
fuddruckers,"3159 U.S. 46, Parsippany, NJ 07054, United States",Newark,20160923,113200,iPhone 6s Plus,Discover,FAIL,1,Credit,,C38QFBN2GRWV,NA,NA,NO,NA,NA,3094,Discover,40.86033666;-74.37267784,NA,8081,,10.1 (14B49),NO,, tap not available. ,,,NA,7054,Parsippany,Touch,NA,NA,Portrait,NA,NA,United States
Cumberland Farms,"109 Windermere Ave, Greenwood Lake, NY 10925, United States",Newark,20160923,132300,iPhone 6s Plus,Discover,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,3094,Discover,40.86037917;-74.37275094,NA,8081,5,10.1 (14B49),NO,, NA,Perishable,equinox ,NA,7054,Parsippany,Range1,NO,YES,Portrait,YES,YES,United States
Cumberland Farms,707 US Highway 46  Parsippany NJ 07054  United States,Newark,20160923,132300,iPhone 6s Plus,Amex,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,1007,Amex,40.86046217;-74.37259382,NA,7676,5,10.1 (14B49),NO,, NA,Perishable,equinox ,NA,7054,Parsippany,Range1,NO,YES,Portrait,YES,YES,United States
Cumberland Farms,707 US Highway 46  Parsippany NJ 07054  United States,Newark,20160923,132300,iPhone 6,Citi,PASS,1,Credit,,F18Q19K5G5M,NA,NA,YES,NA,NA,5739,MasterCard,40.86046217;-74.37259382,NA,6490,5,10.1 (14B49),NO,, NA,Perishable,equinox ,NA,7054,Parsippany,Range1,NO,YES,Portrait,YES,YES,United States
Cumberland Farms,707 US Highway 46  Parsippany NJ 07054  United States,Newark,20160923,132300,iPhone 6,Chase,PASS,1,Credit,,F18Q19K5G5M,NA,NA,YES,NA,NA,671,Visa,40.86041255;-74.37242865,NA,7726,5,10.1 (14B49),NO,, NA,Perishable,equinox ,NA,7054,Parsippany,Range1,NO,YES,Portrait,YES,YES,United States
Cumberland Farms,707 US Highway 46  Parsippany NJ 07054  United States,Newark,20160923,132300,Apple Watch,BOA,PASS,1,Debit,Debit runs as credit,FH9PTV0UG99D,NA,NA,YES,NA,NA,7855,MasterCard Debit,40.86041158;-74.37268169,NA,4208,5,3.1 (14S445),NO,, NA,Perishable,equinox ,NA,7054,Parsippany,Range1,NO,NO,Portrait,NO,NO,United States
Cumberland Farms,707 US Highway 46  Parsippany NJ 07054  United States,Newark,20160923,132300,Apple Watch,Chase,PASS,1,Debit,Debit runs as credit,FH9PTV0UG99D,NA,NA,YES,NA,NA,4295,Visa Debit ,40.86046217;-74.37259382,NA,4701,5,3.1 (14S445),NO,, NA,Perishable,equinox ,NA,7054,Parsippany,Range1,NO,NO,Portrait,NO,NO,United States
The Fresh Market,277 Eisenhower Pkwy  Livingston NJ 07039  United States,Newark,20160923,144000,iPhone 6s Plus,Discover,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,3094,Discover,40.79883808;-74.34346679,NA,8081,5,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7039,Livingston,Range2,NO,YES,Portrait,YES,YES,United States
The Fresh Market,277 Eisenhower Pkwy  Livingston NJ 07039  United States,Newark,20160923,144000,iPhone 6s Plus,Amex,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,1007,Amex,40.79883808;-74.34346679,NA,7676,5,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7039,Livingston,Range2,NO,YES,Portrait,YES,YES,United States
The Fresh Market,277 Eisenhower Pkwy  Livingston NJ 07039  United States,Newark,20160923,144000,iPhone 6,Citi,PASS,1,Credit,,F18Q19K5G5M,NA,NA,YES,NA,NA,5739,MasterCard,40.79883808;-74.34346679,NA,6490,5,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7039,Livingston,Range2,NO,YES,Portrait,YES,YES,United States
The Fresh Market,277 Eisenhower Pkwy  Livingston NJ 07039  United States,Newark,20160923,144000,iPhone 6,Chase,PASS,1,Credit,,F18Q19K5G5M,NA,NA,YES,NA,NA,671,Visa,40.79883808;-74.34346679,NA,7726,5,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7039,Livingston,Range2,NO,YES,Portrait,YES,YES,United States
The Fresh Market,277 Eisenhower Pkwy  Livingston NJ 07039  United States,Newark,20160923,144000,Apple Watch,BOA,PASS,1,Debit,,FH9PTV0UG99D,NA,NA,YES,NA,NA,7855,MasterCard Debit,40.79882916;-74.34345908,NA,4208,5,3.1 (14S445),NO,, NA,Perishable,verifone ,NA,7039,Livingston,Range2,NO,YES,Portrait,YES,YES,United States
The Fresh Market,277 Eisenhower Pkwy  Livingston NJ 07039  United States,Newark,20160923,144000,Apple Watch,Chase,PASS,1,Debit,,FH9PTV0UG99D,NA,NA,YES,NA,NA,4295,Visa Debit ,40.79882916;-74.34345908,NA,4701,5,3.1 (14S445),NO,, NA,Perishable,verifone ,NA,7039,Livingston,Range2,NO,YES,Portrait,YES,YES,United States
carmike cinema,19–99 Eastman St  Cranford NJ 07016  United States,Newark,20160923,152300,iPhone 6s Plus,Discover,FAIL,1,Credit,,C38QFBN2GRWV,NA,NA,NO,NA,NA,3094,Discover,40.65597961;-74.30589591,NA,8081,,10.1 (14B49),NO,, tap not available. ,,,NA,7016,Cranford,NA,NA,NA,,NA,NA,United States
Wegmans,15 Woodbridge Center Dr  Woodbridge NJ 07095  United States,Newark,20160923,160600,iPhone 6s Plus,Discover,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,3094,Discover,40.54912685;-74.29712752,NA,8081,4.26,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7095,Woodbridge,Touch,NO,YES,Portrait Face Down,YES,YES,United States
Wegmans,15 Woodbridge Center Dr  Woodbridge NJ 07095  United States,Newark,20160923,160600,iPhone 6s Plus,Amex,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,1007,Amex,40.54916646;-74.29707329,NA,7676,3.99,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7095,Woodbridge,Touch,NO,YES,Portrait Face Down,YES,YES,United States
